100 0.03
120 0.02
140 0.03
160 0.03
180 0.04
200 0.05
220 0.06
240 0.07
260 0.09
280 0.10
300 0.13
320 0.15
340 0.19
360 0.22
380 0.26
400 0.30
420 0.35
440 0.41
460 0.48
480 0.53
500 0.63
520 0.71
540 0.80
560 0.89
580 0.98
600 1.08
