# Funcs in order sqrt, invsqrt, int3 int4
# Value: 0.666953909054655 Error 0.654420581205935
# Value: 1.99996150007805 Error 0.99964619711904
# Value: 3.14183457802727 Error 0.999999960993812
# Value: -3.99991705899915 Error -0.999999999996501
Erf
-5,-1
-4.75,-1
-4.5,-0.999999999999994
-4.25,-0.999999999999845
-4,-0.999999999996504
-3.75,-0.999999999934268
-3.5,-0.999999998967652
-3.25,-0.999999986457457
-3,-0.999999851611009
-2.75,-0.999998641899387
-2.5,-0.999989617625758
-2.25,-0.999933699587185
-2,-0.99964628344064
-1.75,-0.99842276452583
-1.5,-0.989198871866056
-1.25,-0.974113926830228
-1,-0.842729958487199
-0.75,-0.711143395668304
-0.5,-0.520450833623745
-0.25,-0.27632436247415
0,0
0.25,0.27632436247415
0.5,0.520450833623745
0.75,0.711143395668304
1,0.842729958487199
1.25,0.974113926830228
1.5,0.989198871866056
1.75,0.99842276452583
2,0.99964628344064
2.25,0.999933699587185
2.5,0.999989617625758
2.75,0.999998641899387
3,0.999999851611009
3.25,0.999999986457457
3.5,0.999999998967652
3.75,0.999999999934268
4,0.999999999996504
4.25,0.999999999999845
4.5,0.999999999999994
4.75,1


Table
0,0
0.02,0.022564575
0.04,0.045111106
0.06,0.067621594
0.08,0.090078126
0.1,0.112462916
0.2,0.222702589
0.3,0.328626759
0.4,0.428392355
0.5,0.520499878
0.6,0.603856091
0.7,0.677801194
0.8,0.742100965
0.9,0.796908212
1,0.842700793
1.1,0.88020507
1.2,0.910313978
1.3,0.934007945
1.4,0.95228512
1.5,0.966105146
1.6,0.976348383
1.7,0.983790459
1.8,0.989090502
1.9,0.992790429
2,0.995322265
2.1,0.997020533
2.2,0.998137154
2.3,0.998856823
2.4,0.999311486
2.5,0.999593048
3,0.99997791
3.5,0.999999257


Difference
0,0
0.02,3.15395033007038E-10
0.04,8.61768850723976E-11
0.06,1.35836471237827E-09
0.08,7.51241117924462E-09
0.1,2.23126093157333E-08
0.2,6.85451702675532E-07
0.3,4.85212509665489E-06
0.4,1.84610024997478E-05
0.5,4.90443762546366E-05
0.6,5.95429275240811E-06
0.7,1.0039716140775E-05
0.8,1.43251462297878E-05
0.9,1.7287168379565E-05
1,-2.9165487198668E-05
1.1,-0.0783433182777408
1.2,-0.059267038857611
1.3,-0.0440611904402906
1.4,-0.0321840031827563
1.5,-0.0230937258660563
1.6,-0.0201016881659871
1.7,-0.0141277868047669
1.8,-0.00972300793639624
1.9,-0.00655239362080329
2,-0.00432401844063957
2.1,-0.00279447129477139
2.2,-0.00176883319082533
2.3,-0.00109675521067754
2.4,-0.000666241970023074
2.5,-0.000396569625757737
3,-2.19416110089909E-05
3.5,-7.41967651984865E-07
